,0
12,"{'id': '1380157472955117572', 'text': 'To continue Electric Cars are a means to restrict Movement and keep the People in their Community ! Hydrogen fuel allows A vehicle to travel nearly 1000miles betw. fill Ups and produces pure Oxygen out exhausts!\nYou cannot Imagine how many will be stranded on the I-St. W/Electric'}"
13,"{'id': '1380157414440308737', 'text': '@UNFCCC @ClimateGroup Precisely and education to speed up that transition is also key. Hence why I have just announced my next electric vehicle expedition, Pole to Pole. \n\n#PoleToPole #Expedition #ClimateAction #RouteZero https://t.co/pVP5RGSz7D'}"
14,"{'id': '1380157401811329036', 'text': 'First tidal powered electric vehicle charger goes live on @zap_map \n\n⚡️https://t.co/XEg28OmkKZ\n\n#ElectricVehicles #techology #GreenEnergy #Scotland #Shetland #cars #automotive #infrastructure'}"
15,"{'id': '1380157246626279425', 'text': '9:54 am /  VEHICLE FIRE / 1569 TILCO DR FREDERICK FRE4: @ REXEL ELECTRIC TG: 9_CHARLIE Disp: B35  - Listen live at https://t.co/qUZQRQp83V'}"
16,"{'id': '1380157208109985793', 'text': 'Polestar taking the pole position on getting to true carbon neutral.   https://t.co/EWnSeechVR'}"
17,"{'id': '1380157026924441606', 'text': 'Study sees electric-vehicle shift as life-or-death riddle for automakers (not all of whom will get the right answer) https://t.co/HH9ZWqmcRq by @KeithNaughton via @technology #KPMG'}"
18,"{'id': '1380156960444669967', 'text': 'As Joe Biden Offers $174 Billion In Assistance For Business, Tesla And Other Electric Vehicle Stocks Grow https://t.co/tT52M2VOFM'}"
19,"{'id': '1380156672631537671', 'text': 'RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser'}"
20,"{'id': '1380156426937589769', 'text': 'RT @AntonEberhard: A ten year transition in Norway’s new car sales @eyaven \nI wonder when South Africa’s electric vehicle revolution will b…'}"
21,"{'id': '1380156378602409990', 'text': 'RT @BCReality: With O&amp;G companies gouging residents at the pumps, the move will accelerate. #bcpoli https://t.co/Q6580dODio'}"
22,"{'id': '1380156243910746116', 'text': 'DehneEVSE is a custom, Nano 33 IoT-controlled EV charging station: Sebastian Dehne decided to create a custom electric vehicle (EV) charging station for his Nissan Leaf from scratch, as what he calls “a\xa0real\xa0full stack project.” He notes that designing… https://t.co/TBJDxICE5E https://t.co/ut6XIAv2z1'}"
23,"{'id': '1380156195630092289', 'text': 'RT @investingport: Electric Vehicle Checkpoint: Cramer on Tesla, NIO and Plug Power https://t.co/jcIAiZvVVf'}"
24,"{'id': '1380156112620687362', 'text': 'Electric Vehicle Checkpoint: Cramer on Tesla, NIO and Plug Power https://t.co/jcIAiZvVVf'}"
25,"{'id': '1380156041443344389', 'text': 'RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser'}"
26,"{'id': '1380155986867068928', 'text': 'Digitization enables #OilAndGas players to leverage their strong brands, large operational infrastructures and broad retail networks to pursue the #ElectricVehicle market. Read more. https://t.co/eYrVIfsTQK\n\n#EYCanada #EYEnergy https://t.co/MfKRBzLC4W'}"
27,"{'id': '1380155896018403332', 'text': 'RT @RichieMerzian: Victorian focus group backs ban on sale of petrol cars by 2030 as part of electric vehicle push in @theage by @perkinsmi…'}"
28,"{'id': '1380155864015847430', 'text': 'Chinese electric vehicle maker #XPeng Motors is planning to build a factory in #Wuhan city, which will have the capacity to assemble 100,000 vehicles a year, the carmaker said.'}"
29,"{'id': '1380155737956085762', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
30,"{'id': '1380155607836147712', 'text': '$XPEV Chinese smart electric vehicle maker, XPeng has entered into a cooperation agreement with the City of Wuhan to build a new XPeng Motors Wuhan Smart EV Manufacturing Base with the government backing.'}"
31,"{'id': '1380155485643477004', 'text': 'RT @VeoliaUK: With the number of electric vehicles on our roads set to increase tenfold by 2030, recycling their batteries is an essential…'}"
32,"{'id': '1380155408225079296', 'text': 'RT @simonahac: UK electric vehicle sales reach 1️⃣4️⃣% market share in march. \n\nif australia reaches 1️⃣% it’ll represent growth!\n\nwe are *…'}"
33,"{'id': '1380155352948342792', 'text': 'RT @Nairametrics: FG set to commission first Electric-Vehicle charging station, two months after unveiling first EV https://t.co/Rgh3cEzbqt…'}"
34,"{'id': '1380155169086787587', 'text': 'RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser'}"
35,"{'id': '1380155096152084481', 'text': 'RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser'}"
36,"{'id': '1380155084835799056', 'text': 'RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser'}"
37,"{'id': '1380155071883849731', 'text': 'RT @EV_Resource: “Of the 36 states covered by the report, just 6 require utilities to invest in EV charging infrastructure for lower-income…'}"
38,"{'id': '1380154980347351044', 'text': 'RT @Klp168: In Norway, fuel vehicle sales in March accounted for 9.5% of passenger car sales. The sales volume of pure electricity was 8,61…'}"
39,"{'id': '1380154741854965760', 'text': 'RT @CampanaleMark: Electric Vehicle Sales Promise Shock for Big Oil.  If motor manufacturers are right about the prospects for electric veh…'}"
40,"{'id': '1380154714675904513', 'text': 'RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser'}"
41,"{'id': '1380154675350093830', 'text': 'RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser'}"
42,"{'id': '1380154571046141953', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
43,"{'id': '1380154504776146952', 'text': 'RT @ACEEEdc: #ICYMI: We analyzed how states and utilities are investing in #ElectricVehicle charging infrastructure – and found there needs…'}"
44,"{'id': '1380154502901346310', 'text': 'RT @BristolBioSci: .@BristolUni has been ranked as one of the best UK universities for sustainable transport.\n\nElectric vehicles and cycle…'}"
45,"{'id': '1380154353361821700', 'text': '@iamfre3d0m @DeathMetalV Damn, if they could ever make an electric vehicle under 25k.'}"
46,"{'id': '1380154337377333248', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
47,"{'id': '1380154317957705734', 'text': 'RT @scudnewsng: NITT Set To Unveil Nigeria’s First Electric Vehicle - https://t.co/FWcndH4P9B https://t.co/P1yOtTYS3Z'}"
48,"{'id': '1380154308570845187', 'text': 'RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser'}"
49,"{'id': '1380154288643670018', 'text': 'Tesla’s Quarterly Electric Vehicle Deliveries Exceed Expectations, But The Company’s Growth Rate Has Slow. https://t.co/RpBo6LBOek'}"
50,"{'id': '1380154111719571477', 'text': 'Hyundai Kona Electric Now Offers the Longest Range of Any Plug-In Car Grant-Eligible\xa0Vehicle https://t.co/nenXtWCaVE'}"
51,"{'id': '1380154049593540610', 'text': ""Converting Colorado's public &amp; private fleets to electric power is a fine idea. But, we are rapidly losing ground on mobile source carbon emissions through relentless, endless expansion of Colorado highways &amp; freeways. Apparently, we are powerless to stop. https://t.co/DFwVV1UHHl""}"
52,"{'id': '1380154026738737158', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
53,"{'id': '1380153957536952322', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
54,"{'id': '1380153916294369292', 'text': 'RT @AASHTOsean: Shoshana Lew, @ColoradoDOT executive director, explains how state DOTs will play a critical role in rolling out #EV #infras…'}"
55,"{'id': '1380153895738089485', 'text': 'RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser'}"
56,"{'id': '1380153827765129219', 'text': 'Event on 29th April: @IDEALondon Accelerating Net Zero: Investing in the Electric Vehicle Ecosystem\nhttps://t.co/q2F212XydG\n\nE-mobility is key to achieving the UK’s Net Zero carbon emissions target by 2050. Join us in the discussion.'}"
57,"{'id': '1380153793724157952', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
58,"{'id': '1380153771733479428', 'text': ""RT @billy_bute: EV owners get large subsidies to buy cars. They are generally rich people and second cars. But they don't want to pay for r…""}"
59,"{'id': '1380153757699297288', 'text': 'RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser'}"
60,"{'id': '1380153720084697088', 'text': 'Electric Vehicle Infrastructure Critical in Low-Income Areas &amp; Communities of Colors https://t.co/3Xh3B7JNrW https://t.co/bzx1Q3aNiT'}"
61,"{'id': '1380153612777689099', 'text': 'RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser'}"
62,"{'id': '1380153590895898624', 'text': 'RT @eStream_Studios: #Automotive #Transportation Polestar “will have to question everything” in order to build the first climate-neutral EV…'}"
63,"{'id': '1380153553185075208', 'text': 'RT @rkempner: Texas is becoming a national manufacturing hub for pollution-free vehicles. Why does #txlege want to tax electric vehicle own…'}"
64,"{'id': '1380153501733552136', 'text': 'Electric Vehicle Checkpoint: Cramer on Tesla, NIO and Plug Power | TheStreet https://t.co/HIOCSHeNdm'}"
65,"{'id': '1380153362243584001', 'text': 'RT @Quicktake: There are generally three types of electric vehicles, each requiring more copper than a traditional internal combustion vehi…'}"
66,"{'id': '1380153322825469954', 'text': 'RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser'}"
67,"{'id': '1380153101013938181', 'text': 'RT @Sokoto_Tracker: Nigeria launches its first solar-powered charging station in Sokoto for electric vehicle charging. The nation has an ab…'}"
68,"{'id': '1380152943807193098', 'text': 'As Joe Biden Offers $174 Billion In Assistance For Business, Tesla And Other Electric Vehicle Stocks Grow https://t.co/SuvX5yxz0o'}"
69,"{'id': '1380152939512233990', 'text': ""RT @billy_bute: EV owners get large subsidies to buy cars. They are generally rich people and second cars. But they don't want to pay for r…""}"
70,"{'id': '1380152928678318081', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
71,"{'id': '1380152895031640066', 'text': 'As Joe Biden Offers $174 Billion In Assistance For Business, Tesla And Other Electric Vehicle Stocks Grow https://t.co/Vu7rOrw1hP'}"
72,"{'id': '1380152790589313042', 'text': 'RT @RichieMerzian: Victorian focus group backs ban on sale of petrol cars by 2030 as part of electric vehicle push in @theage by @perkinsmi…'}"
73,"{'id': '1380152782783668226', 'text': ""I wish there was an electric van that had a decent range in it that could be used as a base vehicle for a camper conversion.  I mean there are some that have 150-200 miles... but with a van that's all packed up etc it's going to be much lower... I think.""}"
74,"{'id': '1380152758360186880', 'text': ""RT @billy_bute: EV owners get large subsidies to buy cars. They are generally rich people and second cars. But they don't want to pay for r…""}"
75,"{'id': '1380152692308205568', 'text': 'RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser'}"
76,"{'id': '1380152652122755088', 'text': '@Electric_PC @SafariWoman that 2000 watts not 20,000 you are not charging an EV vehicle with that in any reasonable amount of time'}"
77,"{'id': '1380152642215755777', 'text': 'As Joe Biden Offers $174 Billion In Assistance For Business, Tesla And Other Electric Vehicle Stocks Grow https://t.co/kYOFKXKRZW'}"
78,"{'id': '1380152602516717568', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
79,"{'id': '1380152581964640260', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
80,"{'id': '1380152427903647744', 'text': ""RT @WBrettWilson: Saskatchewan's incoming electric vehicle tax sends 'wrong message,' advocates say - @GlobalNews\n\nWell advocates also say…""}"
81,"{'id': '1380152327953342470', 'text': 'This is very good but government should encourage Nigerians to go with electric vehicles. I really dont know how many of such are there in Nigeria or can a vehicle with petrol engine be converted to electric? https://t.co/aycpBhfQrZ'}"
82,"{'id': '1380152276824821770', 'text': 'RT @VeoliaUK: With the number of electric vehicles on our roads set to increase tenfold by 2030, recycling their batteries is an essential…'}"
83,"{'id': '1380152218423324684', 'text': 'RT @GazetteNGR: NITT to produce Nigeria’s first electric vehicle https://t.co/KZ9eDlRcP4'}"
84,"{'id': '1380152180649435136', 'text': 'Esta SUV del segmento B viene con motor 1.0L Turbo y sistema MHEV (Mild Hybrid Electric Vehicle) de 48V. #intenz \n\nhttps://t.co/2Rx9yudZCY'}"
85,"{'id': '1380151950499545095', 'text': 'RT @RichieMerzian: Victorian focus group backs ban on sale of petrol cars by 2030 as part of electric vehicle push in @theage by @perkinsmi…'}"
86,"{'id': '1380151897693257731', 'text': 'RT @Vlajournaliste: US market share of plug-in EV sales is only 1/3 the size of the Chinese EV market, according to the $2 trillion America…'}"
87,"{'id': '1380151883168366592', 'text': 'RT @Vlajournaliste: US market share of plug-in EV sales is only 1/3 the size of the Chinese EV market, according to the $2 trillion America…'}"
88,"{'id': '1380151828684374018', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
89,"{'id': '1380151818903113728', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
90,"{'id': '1380151764213755911', 'text': 'Blink $BLNK a leading owner, operator, and provider of electric vehicle (EV) charging equipment and services, announced the upcoming deployment of 42 charging ports at ten Four Brothers Pizza Inn (Four Brothers) locations across New York.'}"
91,"{'id': '1380151530838499331', 'text': 'RT @rgatess: So many creative win-win opportunities arise with green renewable solutions! Besides shade for cyclists, these kinds highway m…'}"
92,"{'id': '1380151460223188997', 'text': ""RT @PepMalagrava: 🅿️🔋Aparcaments amb fotovoltaica a sobre i punt de recàrrega. Projectes d'autoconsum i foment del vehicle elèctric, dos ei…""}"
93,"{'id': '1380151446490976264', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
94,"{'id': '1380151133797240832', 'text': 'RT @GratomicInc: Gratomic Intends to Fully Power its Aukam Processing Facility Through Solar Energy by 2022\n\nClick the link to view the ful…'}"
95,"{'id': '1380151052004163593', 'text': 'Electric-Vehicle Shift Becomes Life-or-Death Risk for Automakers https://t.co/jdPCa49BAa #trademoneta #stockmarket https://t.co/hyfgjkDlok'}"
96,"{'id': '1380150972698124289', 'text': 'Credit Fair offers 0% EMI on Home Renovation, Electric Vehicle Purchase, Education and Medical Loans. Be smart, Choose Credit Fair!! \n\nDownload the app now!!\nhttps://t.co/mBlKg2vz2z\n\n#financeapp #finance #moneygram #nocostemi #instagood #instantapproval #instadaily #daily https://t.co/T9rK4y3CeO'}"
97,"{'id': '1380150939500306438', 'text': ""RT @gaspardmpondo: Ce TUK TUK électrique solaire écologique s'appelle BEKALARA. Homologué en FRANCE, je l'ai fait venir pour mes moments de…""}"
98,"{'id': '1380150872974458885', 'text': 'RT @pluginadventure: I am really excited to finally announce my next expedition. \nTo be the worlds first person to drive from Pole to Pole,…'}"
99,"{'id': '1380150849775763463', 'text': 'RT @pluginadventure: I am really excited to finally announce my next expedition. \nTo be the worlds first person to drive from Pole to Pole,…'}"
100,"{'newest_id': '1380157886316302354', 'oldest_id': '1380150849775763463', 'result_count': 100, 'next_token': 'b26v89c19zqg8o3fostqs7ny4qj51c2ggkv5rp1c05wfx'}"
101,"{'id': '1380150844092452870', 'text': ""RT @billy_bute: EV owners get large subsidies to buy cars. They are generally rich people and second cars. But they don't want to pay for r…""}"
102,"{'id': '1380150643185176576', 'text': 'RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser'}"
103,"{'id': '1380150541364424704', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
104,"{'id': '1380150537773969409', 'text': 'Are you listening, @Honda @HondaCanada? Launch the Honda E in Canada! 🇨🇦 🌎\n\nElectric vehicles selling in record numbers in B.C., province says https://t.co/nWBQ2Fx23b https://t.co/dShLYDE1yQ'}"
105,"{'id': '1380150526336102403', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
106,"{'id': '1380150331145908228', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
107,"{'id': '1380150320362356743', 'text': '$ISUZY While everyone is focused on the big names in electric vehicles, investors may be missing out on an under t… https://t.co/FVTryijP06'}"
108,"{'id': '1380150317984194562', 'text': '279 million ICE vehicles are on roads in the US and new ones are expected to still outsell EVs 4:1 in 2030.  Add an average vehicle life of 11.8 years and we will need #renewable and #biofuels for a long time...\nhttps://t.co/h9Hv8wCvuY'}"
109,"{'id': '1380150302897225728', 'text': 'FG set to commission first Electric-Vehicle charging station, two months after unveiling first EV...\nhttps://t.co/kJfBmPdDY0'}"
110,"{'id': '1380150235746480132', 'text': 'RT @CampanaleMark: Electric Vehicle Sales Promise Shock for Big Oil.  If motor manufacturers are right about the prospects for electric veh…'}"
111,"{'id': '1380150118393991168', 'text': 'RT @Premafrimin: $PREM #PREM #Zulu\n𝐈𝐍𝐕𝐄𝐒𝐓𝐎𝐑𝐒 𝐅𝐋𝐎𝐂𝐊 𝐓𝐎 𝐋𝐈𝐓𝐇𝐈𝐔𝐌\nInterest in the industry is resurgent as electric-vehicle targets set by glob…'}"
112,"{'id': '1380149993789530119', 'text': 'RT @PDChina: What a narrow escape! An electric motorcycle driver fortunately skipped away from the forklift ready to unload goods and his v…'}"
113,"{'id': '1380149969525571584', 'text': '#PresidentBidenTaxPlan eliminates fossil fuel subsidies of $35B, the new tax plan will support the adoption of burgeoning green technologies like adopting electric vehicle usage and sustainable sources of energy like wind and solar power.\n#AmericanJobsPlan\nhttps://t.co/z0EdqMCQVJ'}"
114,"{'id': '1380149948516208640', 'text': 'RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser'}"
115,"{'id': '1380149883311697924', 'text': 'RT @Sokoto_Tracker: Nigeria launches its first solar-powered charging station in Sokoto for electric vehicle charging. The nation has an ab…'}"
116,"{'id': '1380149762956009475', 'text': 'RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser'}"
117,"{'id': '1380149669381169157', 'text': 'WorldStage Newsonline-- The Nigerian Institute of Transport Technology (NITT), Zaria has set up a 22-member project team for the development of\xa0 an electric vehicle.\n\nInaugurating the team on Thursdayin Zaria, , Mr Olorogun-John Inojeharho, Chairman,\n\nhttps://t.co/OUQodIbjEF https://t.co/rNlVy9GBej'}"
118,"{'id': '1380149643955335169', 'text': 'With the number of electric vehicles on our roads set to increase tenfold by 2030, recycling their batteries is an essential step for a sustainable future. @Veolia @renault_uk @SolvayGroup @CIWM  https://t.co/3VeevAgDON'}"
119,"{'id': '1380149596928679941', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
120,"{'id': '1380149477865107459', 'text': 'RT @mobilitycat: ""So please, if you drive an electric vehicle, switch on your sound emitter. After all, you wouldn’t drive at night without…'}"
121,"{'id': '1380149287804403717', 'text': ""RT @SawyerMerritt: BREAKING: The Biden administration's $174 Billion proposal to boost electric vehicles calls for $100 Billion in new cons…""}"
122,"{'id': '1380149252366639105', 'text': 'RT @dougducey: Arizona is home to @LucidMotors’ electric vehicle manufacturing facility, which is expected to create 4,800 direct and indir…'}"
123,"{'id': '1380149200952918022', 'text': ""RT @WBrettWilson: Saskatchewan's incoming electric vehicle tax sends 'wrong message,' advocates say - @GlobalNews\n\nWell advocates also say…""}"
124,"{'id': '1380149189770874885', 'text': 'https://t.co/Mf5RsQ8J7O https://t.co/DhX823HbxV'}"
125,"{'id': '1380149111555555329', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
126,"{'id': '1380149106140717058', 'text': ""RT @SawyerMerritt: BREAKING: The Biden administration's $174 Billion proposal to boost electric vehicles calls for $100 Billion in new cons…""}"
127,"{'id': '1380148997063593986', 'text': ""RT @vincent13031925: Biden Administration's Proposal to Boost Electric Vehicle Sales Calls for $100 Billion in New Consumer Rebates\n\nhttps:…""}"
128,"{'id': '1380148922727899138', 'text': 'RT @GratomicInc: Gratomic Intends to Fully Power its Aukam Processing Facility Through Solar Energy by 2022\n\nClick the link to view the ful…'}"
129,"{'id': '1380148867455459331', 'text': 'RT @UDUSOK: The National Automative Design and Development Council (NADDC) Electronic Vehicle Pilot Project in collaboration with Usmanu Da…'}"
130,"{'id': '1380148845464670209', 'text': '156 million Americans duped. Example:174 billion subsidizing electric vehicle development. #democRatsRthieves #DemocratsAreDestroyingAmerica https://t.co/VaQugOAxlW'}"
131,"{'id': '1380148777353314307', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
132,"{'id': '1380148762891350018', 'text': 'The Dixon City Council approved the first step in bringing more electric vehicle charging stations to town.\nhttps://t.co/syJ1Dhlr76'}"
133,"{'id': '1380148702803857408', 'text': 'RT @Premafrimin: $PREM #PREM #Zulu\n𝐈𝐍𝐕𝐄𝐒𝐓𝐎𝐑𝐒 𝐅𝐋𝐎𝐂𝐊 𝐓𝐎 𝐋𝐈𝐓𝐇𝐈𝐔𝐌\nInterest in the industry is resurgent as electric-vehicle targets set by glob…'}"
134,"{'id': '1380148663524155410', 'text': 'RT @eVolt_UK: #ThrowbackThursday We have been installing publicly available electric vehicle rapid chargers for over a decade.  10 years af…'}"
135,"{'id': '1380148615511937025', 'text': 'RT @NADDCouncil: The National Automotive Design and Development Council, NADDC, Invites the General public to the commissioning of the Firs…'}"
136,"{'id': '1380148598399102976', 'text': ""RT @SawyerMerritt: BREAKING: The Biden administration's $174 Billion proposal to boost electric vehicles calls for $100 Billion in new cons…""}"
137,"{'id': '1380148330450321414', 'text': 'RT @TheAGDealer: [Via @farmtario] Electric vehicle surge to unplug ethanol demand. https://t.co/i7lPzWuLOU https://t.co/jwa5xujdzq'}"
138,"{'id': '1380148300653981698', 'text': 'MLM CARLOW Best Deals: 191 Hyundai Ioniq Electric Auto 5Dr  - 44,479kms\nNow reduced to €23,750\nFinance available: €362 per month or €84 per week. Lending Criteria, Terms and Conditions apply.\nhttps://t.co/MIGB3sOIu9 https://t.co/KwYIZMIpJM'}"
139,"{'id': '1380147970943770625', 'text': '“These vehicles contribute to wear and tear on provincial roadways, but because they do not consume traditional fuels they are not contributing to highway maintenance through the provincial Fuel Tax.""\n\n“This is clearly a slap in th…https://t.co/rM6hXVEDve https://t.co/Nyjs2wTAeY'}"
140,"{'id': '1380147864186281988', 'text': ""RT @WBrettWilson: Saskatchewan's incoming electric vehicle tax sends 'wrong message,' advocates say - @GlobalNews\n\nWell advocates also say…""}"
141,"{'id': '1380147800248217603', 'text': '@perreaux @SoundsKugle Because the driving infrastructure (roads, bridges, snow removal, etc) is paid for with gas tax...why do you want electric vehicle operators to shirk their responsibility to help finance the infrastructure they use?'}"
142,"{'id': '1380147723546976261', 'text': ""RT @billy_bute: EV owners get large subsidies to buy cars. They are generally rich people and second cars. But they don't want to pay for r…""}"
143,"{'id': '1380147678571425792', 'text': 'FG set to commission first Electric-Vehicle charging station, two months after unveiling first EV https://t.co/Rgh3cEzbqt https://t.co/h8GCVQHkDg'}"
144,"{'id': '1380147675295850497', 'text': 'https://t.co/88iLiTFkP0'}"
145,"{'id': '1380147543347245064', 'text': ""RT @Klp168: NIO's William Li says second sedan will be launched in the future, more competitive than Tesla Model 3 https://t.co/55OXh87i8E…""}"
146,"{'id': '1380147511361478656', 'text': 'RT @cvpayne: BIDEN INFRASTRUCTURE PLAN CALLS FOR $100 BILLION FOR NEW CONSUMER ELECTRIC VEHICLE REBATES --EMAIL TO CONGRESSIONAL STAFF SEEN…'}"
147,"{'id': '1380147496937259013', 'text': ""RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…""}"
148,"{'id': '1380147456906833922', 'text': '#ICYMI: We analyzed how states and utilities are investing in #ElectricVehicle charging infrastructure – and found there needs to be more equitable investment. https://t.co/2X2uUH9f4W https://t.co/iNYigck1IF'}"
149,"{'id': '1380147421330743296', 'text': 'RT @perreaux: Hey Saskatchewan, you made Montréal radio for your electric vehicle road-use tax!\n\nIt was a nice brightener that provided eve…'}"
